TITLE;YEAR;IMDB RATING;USER RATINGS
Um Sonho de Liberdade;1994;9.2; 2,522,596
O Poderoso Chefão;1972;9.1; 1,736,836
O Poderoso Chefão II;1974;9.0; 1,205,200
Batman: O Cavaleiro das Trevas;2008;9.0; 2,472,813
12 Homens e uma Sentença;1957;8.9; 744,944
A Lista de Schindler;1993;8.9; 1,289,232
O Senhor dos Anéis: O Retorno do Rei;2003;8.9; 1,741,363
Pulp Fiction: Tempo de Violência;1994;8.8; 1,943,856
Três Homens em Conflito;1966;8.8; 729,332
O Senhor dos Anéis: A Sociedade do Anel;2001;8.8; 1,762,561
Clube da Luta;1999;8.7; 1,984,024
Forrest Gump: O Contador de Histórias;1994;8.7; 1,946,872
A Origem;2010;8.7; 2,217,399
O Senhor dos Anéis: As Duas Torres;2002;8.7; 1,573,662
O Império Contra-Ataca;1980;8.7; 1,225,530
Matrix;1999;8.7; 1,817,519
Os Bons Companheiros;1990;8.6; 1,091,421
Um Estranho no Ninho;1975;8.6; 967,545
Homem-Aranha: Sem Volta para Casa;2021;8.6; 370,244
Os Sete Samurais;1954;8.6; 333,652
Seven: Os Sete Crimes Capitais;1995;8.6; 1,548,502
O Silêncio dos Inocentes;1991;8.6; 1,356,903
Cidade de Deus;2002;8.6; 730,868
A Felicidade Não se Compra;1946;8.6; 437,136
A Vida é Bela;1997;8.6; 663,681
O Resgate do Soldado Ryan;1998;8.6; 1,317,199
Guerra nas Estrelas;1977;8.5; 1,297,139
Interestelar;2014;8.5; 1,668,914
A Viagem de Chihiro;2001;8.5; 711,115
À Espera de um Milagre;1999;8.5; 1,227,275
Parasita;2019;8.5; 703,353
O Profissional;1994;8.5; 1,102,758
Harakiri;1962;8.5; 51,297
O Pianista;2002;8.5; 786,501
O Exterminador do Futuro 2 - O Julgamento Final;1991;8.5; 1,049,581
De Volta para o Futuro;1985;8.5; 1,135,178
Os Suspeitos;1995;8.5; 1,043,674
Psicose;1960;8.5; 641,671
O Rei Leão;1994;8.5; 1,001,806
Tempos Modernos;1936;8.5; 232,537
Túmulo dos Vagalumes;1988;8.5; 258,909
A Outra História Americana;1998;8.5; 1,080,639
Whiplash: Em Busca da Perfeição;2014;8.5; 783,301
